id,listing_id,source_name,price,surface,rooms,city,region,zone,transaction_type,property_type,scraped_at,change_type,price_delta,price_delta_pct,reliability_score
1666,tunisieannonce_1b06447354ae,tunisieannonce,3500.0,500.0,1.0,Bir Bouregba,TUNIS,north,Rent,Land,2026-03-26T16:11:42.716271,new,,,90
1803,tunisieannonce_83db409cce41,tunisieannonce,11111.0,920.0,,Bir Bouregba,TUNIS,north,Sale,Land,2026-03-26T16:11:53.280337,new,,,70
1918,tunisieannonce_e435486a26a2,tunisieannonce,215000.0,105.0,5.0,Le Bardo,TUNIS,north,Sale,Apartment,2026-03-26T16:12:02.477070,new,,,100
1714,tunisieannonce_48a858817e94,tunisieannonce,850.0,32.0,1.0,Cite El Intissar 2,TUNIS,north,Rent,Apartment,2026-03-26T16:12:12.557617,new,,,85
1735,tunisieannonce_57c480b17be8,tunisieannonce,355000.0,147.0,,Cite El Ghazala 1,TUNIS,north,Sale,Apartment,2026-03-26T16:12:21.099164,new,,,90
1909,tunisieannonce_df29b5c0b146,tunisieannonce,170000.0,225.0,,Sidi Salah,TUNIS,north,Sale,Land,2026-03-26T16:12:30.736644,new,,,90
1845,tunisieannonce_adae9d2ca665,tunisieannonce,480000.0,300.0,,Dar Allouche,TUNIS,north,Sale,Land,2026-03-26T16:12:40.065709,new,,,85
1908,tunisieannonce_de201c7178b0,tunisieannonce,2500.0,123.0,2.0,Jardins De Carthage,TUNIS,north,Rent,Apartment,2026-03-26T16:12:48.016990,new,,,90
1792,tunisieannonce_7f34ad91b134,tunisieannonce,80000.0,54.0,,Riadh Landlous,TUNIS,north,Sale,Commercial,2026-03-26T16:12:57.162946,new,,,70
1796,tunisieannonce_7f16b0f254bd,tunisieannonce,820000.0,629.0,3.0,Borj Cedria,TUNIS,north,Sale,Villa,2026-03-26T16:13:06.238591,new,,,100
1767,tunisieannonce_70265f0f9cb7,tunisieannonce,355000.0,265.0,3.0,Borj Cedria,TUNIS,north,Sale,Villa,2026-03-26T16:13:32.983249,new,,,100
1708,tunisieannonce_449e4fff3127,tunisieannonce,1050.0,120.0,3.0,Ariana,TUNIS,north,Rent,Commercial,2026-03-26T16:13:47.084323,new,,,90
1674,tunisieannonce_21f132bb3b93,tunisieannonce,1700.0,800.0,,Sidi Daoud,TUNIS,north,Sale,Land,2026-03-26T16:13:57.247641,new,,,70
1808,tunisieannonce_8b47f89f4ad6,tunisieannonce,1700.0,150.0,,Borj El Baccouche,TUNIS,north,Sale,Commercial,2026-03-26T16:14:04.954068,new,,,70
1713,tunisieannonce_496ce2192c3a,tunisieannonce,1300.0,55.0,1.0,Zone Urbaine Nord,TUNIS,north,Sale,Commercial,2026-03-26T16:14:15.803082,new,,,80
1919,tunisieannonce_e45ae7a2b7a3,tunisieannonce,2000.0,107.0,,Berge Du Lac,TUNIS,north,Sale,Commercial,2026-03-26T16:14:24.616324,new,,,70
1716,tunisieannonce_4b0d137fe835,tunisieannonce,70000.0,350.0,,Hedi Chaker,TUNIS,north,Sale,Commercial,2026-03-26T16:14:33.279912,new,,,90
1910,tunisieannonce_de928394dda1,tunisieannonce,170000.0,55.0,1.0,Republique,TUNIS,north,Sale,Apartment,2026-03-26T16:14:45.186645,new,,,95
1853,tunisieannonce_af79ee3148f0,tunisieannonce,1250.0,80.0,2.0,Bab Bhar,TUNIS,north,Rent,Commercial,2026-03-26T16:14:54.918532,new,,,85
1719,tunisieannonce_4e02ec455b18,tunisieannonce,750.0,80.0,2.0,Republique,TUNIS,north,Rent,Commercial,2026-03-26T16:15:04.796908,new,,,85
