date,indicator,value,source,unit
2022-05-01,ipc_general_ins,7.8,INS,%
2022-05-01,taux_directeur,7.0,BCT,%
2022-05-01,tmm,6.6,BCT,%
2022-05-01,tunindex,905028.0,BVMT,points
2022-05-01,tunindex_immo,20.0,BVMT,points
2022-06-01,ipc_general_ins,8.1,INS,%
2022-06-01,taux_directeur,7.0,BCT,%
2022-06-01,tmm,7.01,BCT,%
2022-06-01,tunindex,905028.0,BVMT,points
2022-06-01,tunindex_immo,20.0,BVMT,points
2022-07-01,ipc_general_ins,8.2,INS,%
2022-07-01,taux_directeur,7.0,BCT,%
2022-07-01,tmm,7.02,BCT,%
2022-07-01,tunindex,905028.0,BVMT,points
2022-07-01,tunindex_immo,20.0,BVMT,points
2022-08-01,ipc_general_ins,8.6,INS,%
2022-08-01,taux_directeur,7.0,BCT,%
2022-08-01,tmm,7.03,BCT,%
2022-08-01,tunindex,905028.0,BVMT,points
2022-08-01,tunindex_immo,20.0,BVMT,points
2022-09-01,ipc_general_ins,9.1,INS,%
2022-09-01,taux_directeur,7.0,BCT,%
2022-09-01,tmm,7.03,BCT,%
2022-09-01,tunindex,905028.0,BVMT,points
2022-09-01,tunindex_immo,20.0,BVMT,points
2022-10-01,ipc_general_ins,9.2,INS,%
2022-10-01,taux_directeur,7.25,BCT,%
2022-10-01,tmm,7.23,BCT,%
2022-10-01,tunindex,905028.0,BVMT,points
2022-10-01,tunindex_immo,20.0,BVMT,points
2022-11-01,ipc_general_ins,9.8,INS,%
2022-11-01,taux_directeur,7.25,BCT,%
2022-11-01,tmm,7.27,BCT,%
2022-11-01,tunindex,905028.0,BVMT,points
2022-11-01,tunindex_immo,20.0,BVMT,points
2022-12-01,ipc_general_ins,10.1,INS,%
2022-12-01,taux_directeur,7.25,BCT,%
2022-12-01,tmm,7.26,BCT,%
2022-12-01,tunindex,905028.0,BVMT,points
2022-12-01,tunindex_immo,20.0,BVMT,points
2023-01-01,chomage_rate,15.106,WorldBank,%
2023-01-01,inflation_rate,9.32899597507865,WorldBank,%
2023-01-01,ipc_general_ins,10.2,INS,%
2023-01-01,pib_courant,149733800000.0,WorldBank,TND
2023-01-01,taux_directeur,8.0,BCT,%
2023-01-01,tmm,7.96,BCT,%
2023-01-01,tnd_eur,3.3583,WorldBank,TND/EUR
2023-01-01,tnd_usd,3.1069,WorldBank,TND/USD
2023-01-01,tunindex,905028.0,BVMT,points
2023-01-01,tunindex_immo,20.0,BVMT,points
2023-02-01,ipc_general_ins,10.4,INS,%
2023-02-01,taux_directeur,8.0,BCT,%
2023-02-01,tmm,8.02,BCT,%
2023-02-01,tunindex,905028.0,BVMT,points
2023-02-01,tunindex_immo,20.0,BVMT,points
2023-03-01,ipc_general_ins,10.3,INS,%
2023-03-01,taux_directeur,8.0,BCT,%
2023-03-01,tmm,8.05,BCT,%
2023-03-01,tunindex,905028.0,BVMT,points
2023-03-01,tunindex_immo,20.0,BVMT,points
2023-04-01,ipc_general_ins,10.1,INS,%
2023-04-01,taux_directeur,8.0,BCT,%
2023-04-01,tmm,8.01,BCT,%
2023-04-01,tunindex,905028.0,BVMT,points
2023-04-01,tunindex_immo,20.0,BVMT,points
2023-05-01,ipc_general_ins,9.6,INS,%
2023-05-01,taux_directeur,8.0,BCT,%
2023-05-01,tmm,8.0,BCT,%
2023-05-01,tunindex,905028.0,BVMT,points
2023-05-01,tunindex_immo,20.0,BVMT,points
2023-06-01,ipc_general_ins,9.3,INS,%
2023-06-01,taux_directeur,8.0,BCT,%
2023-06-01,tmm,8.0,BCT,%
2023-06-01,tunindex,905028.0,BVMT,points
2023-06-01,tunindex_immo,20.0,BVMT,points
2023-07-01,ipc_general_ins,9.1,INS,%
2023-07-01,taux_directeur,8.0,BCT,%
2023-07-01,tmm,8.0,BCT,%
2023-07-01,tunindex,905028.0,BVMT,points
2023-07-01,tunindex_immo,20.0,BVMT,points
2023-08-01,ipc_general_ins,7.2,INS,%
2023-08-01,taux_directeur,8.0,BCT,%
2023-08-01,tmm,8.0,BCT,%
2023-08-01,tunindex,905028.0,BVMT,points
2023-08-01,tunindex_immo,20.0,BVMT,points
2023-09-01,ipc_general_ins,7.4,INS,%
2023-09-01,taux_directeur,8.0,BCT,%
2023-09-01,tmm,8.0,BCT,%
2023-09-01,tunindex,905028.0,BVMT,points
2023-09-01,tunindex_immo,20.0,BVMT,points
2023-10-01,ipc_general_ins,8.6,INS,%
2023-10-01,taux_directeur,8.0,BCT,%
2023-10-01,tmm,7.99,BCT,%
2023-10-01,tunindex,905028.0,BVMT,points
2023-10-01,tunindex_immo,20.0,BVMT,points
2023-11-01,ipc_general_ins,8.3,INS,%
2023-11-01,taux_directeur,8.0,BCT,%
2023-11-01,tmm,7.99,BCT,%
2023-11-01,tunindex,905028.0,BVMT,points
2023-11-01,tunindex_immo,20.0,BVMT,points
2023-12-01,ipc_general_ins,8.1,INS,%
2023-12-01,taux_directeur,8.0,BCT,%
2023-12-01,tmm,7.99,BCT,%
2023-12-01,tunindex,905028.0,BVMT,points
2023-12-01,tunindex_immo,20.0,BVMT,points
2024-01-01,chomage_rate,15.341,WorldBank,%
2024-01-01,inflation_rate,7.20661657168794,WorldBank,%
2024-01-01,ipc_general_ins,7.8,INS,%
2024-01-01,ipim,3.5,INS,index_2015=100
2024-01-01,pib_courant,159760600000.0,WorldBank,TND
2024-01-01,taux_directeur,8.0,BCT,%
2024-01-01,tmm,7.98,BCT,%
2024-01-01,tnd_eur,3.3654,WorldBank,TND/EUR
2024-01-01,tnd_usd,3.1118,WorldBank,TND/USD
2024-01-01,tunindex,905028.0,BVMT,points
2024-01-01,tunindex_immo,20.0,BVMT,points
2024-02-01,ipc_general_ins,7.5,INS,%
2024-02-01,taux_directeur,8.0,BCT,%
2024-02-01,tmm,7.97,BCT,%
2024-02-01,tunindex,905028.0,BVMT,points
2024-02-01,tunindex_immo,20.0,BVMT,points
2024-03-01,ipc_general_ins,7.5,INS,%
2024-03-01,taux_directeur,8.0,BCT,%
2024-03-01,tmm,7.96,BCT,%
2024-03-01,tunindex,905028.0,BVMT,points
2024-03-01,tunindex_immo,20.0,BVMT,points
2024-04-01,ipc_general_ins,7.2,INS,%
2024-04-01,taux_directeur,8.0,BCT,%
2024-04-01,tmm,7.97,BCT,%
2024-04-01,tunindex,905028.0,BVMT,points
2024-04-01,tunindex_immo,20.0,BVMT,points
2024-05-01,ipc_general_ins,7.2,INS,%
2024-05-01,taux_directeur,8.0,BCT,%
2024-05-01,tmm,7.97,BCT,%
2024-05-01,tunindex,905028.0,BVMT,points
2024-05-01,tunindex_immo,20.0,BVMT,points
2024-06-01,ipc_general_ins,7.3,INS,%
2024-06-01,taux_directeur,8.0,BCT,%
2024-06-01,tmm,7.97,BCT,%
2024-06-01,tunindex,905028.0,BVMT,points
2024-06-01,tunindex_immo,20.0,BVMT,points
2024-07-01,ipc_general_ins,6.5,INS,%
2024-07-01,taux_directeur,8.0,BCT,%
2024-07-01,tmm,7.98,BCT,%
2024-07-01,tunindex,905028.0,BVMT,points
2024-07-01,tunindex_immo,20.0,BVMT,points
2024-08-01,ipc_general_ins,6.7,INS,%
2024-08-01,taux_directeur,8.0,BCT,%
2024-08-01,tmm,7.99,BCT,%
2024-08-01,tunindex,905028.0,BVMT,points
2024-08-01,tunindex_immo,20.0,BVMT,points
2024-09-01,ipc_general_ins,6.7,INS,%
2024-09-01,taux_directeur,8.0,BCT,%
2024-09-01,tmm,7.99,BCT,%
2024-09-01,tunindex,905028.0,BVMT,points
2024-09-01,tunindex_immo,20.0,BVMT,points
2024-10-01,ipc_general_ins,6.7,INS,%
2024-10-01,taux_directeur,8.0,BCT,%
2024-10-01,tmm,7.99,BCT,%
2024-10-01,tunindex,905028.0,BVMT,points
2024-10-01,tunindex_immo,20.0,BVMT,points
2024-11-01,ipc_general_ins,6.6,INS,%
2024-11-01,taux_directeur,8.0,BCT,%
2024-11-01,tmm,7.99,BCT,%
2024-11-01,tunindex,905028.0,BVMT,points
2024-11-01,tunindex_immo,20.0,BVMT,points
2024-12-01,ipc_general_ins,6.2,INS,%
2024-12-01,taux_directeur,8.0,BCT,%
2024-12-01,tmm,7.99,BCT,%
2024-12-01,tunindex,905028.0,BVMT,points
2024-12-01,tunindex_immo,20.0,BVMT,points
2025-01-01,chomage_rate,15.108,WorldBank,%
2025-01-01,ipc_general_ins,5.3,INS,%
2025-01-01,taux_directeur,8.0,BCT,%
2025-01-01,tmm,7.99,BCT,%
2025-01-01,tnd_eur,3.3713,BCT,TND/EUR
2025-01-01,tnd_usd,2.9966,BCT,TND/USD
2025-01-01,tunindex,905028.0,BVMT,points
2025-01-01,tunindex_immo,20.0,BVMT,points
2025-02-01,ipc_general_ins,5.7,INS,%
2025-02-01,taux_directeur,8.0,BCT,%
2025-02-01,tmm,7.99,BCT,%
2025-02-01,tunindex,905028.0,BVMT,points
2025-02-01,tunindex_immo,20.0,BVMT,points
2025-03-01,ipc_general_ins,5.9,INS,%
2025-03-01,taux_directeur,7.5,BCT,%
2025-03-01,tmm,7.91,BCT,%
2025-03-01,tunindex,905028.0,BVMT,points
2025-03-01,tunindex_immo,20.0,BVMT,points
2025-04-01,ipc_general_ins,5.6,INS,%
2025-04-01,taux_directeur,7.5,BCT,%
2025-04-01,tmm,7.5,BCT,%
2025-04-01,tunindex,905028.0,BVMT,points
2025-04-01,tunindex_immo,20.0,BVMT,points
2025-05-01,ipc_general_ins,5.4,INS,%
2025-05-01,taux_directeur,7.5,BCT,%
2025-05-01,tmm,7.5,BCT,%
2025-05-01,tunindex,905028.0,BVMT,points
2025-05-01,tunindex_immo,20.0,BVMT,points
2025-06-01,ipc_general_ins,5.4,INS,%
2025-06-01,taux_directeur,7.5,BCT,%
2025-06-01,tmm,7.5,BCT,%
2025-06-01,tunindex,905028.0,BVMT,points
2025-06-01,tunindex_immo,20.0,BVMT,points
2025-07-01,ipc_general_ins,5.3,INS,%
2025-07-01,taux_directeur,7.5,BCT,%
2025-07-01,tmm,7.5,BCT,%
2025-07-01,tunindex,905028.0,BVMT,points
2025-07-01,tunindex_immo,20.0,BVMT,points
2025-08-01,ipc_general_ins,5.2,INS,%
2025-08-01,taux_directeur,7.5,BCT,%
2025-08-01,tmm,7.5,BCT,%
2025-08-01,tunindex,905028.0,BVMT,points
2025-08-01,tunindex_immo,20.0,BVMT,points
2025-09-01,ipc_general_ins,5.2,INS,%
2025-09-01,taux_directeur,7.5,BCT,%
2025-09-01,tmm,7.49,BCT,%
2025-09-01,tunindex,905028.0,BVMT,points
2025-09-01,tunindex_immo,20.0,BVMT,points
2025-10-01,ipc_general_ins,4.9,INS,%
2025-10-01,taux_directeur,7.5,BCT,%
2025-10-01,tmm,7.49,BCT,%
2025-10-01,tunindex,905028.0,BVMT,points
2025-10-01,tunindex_immo,20.0,BVMT,points
2025-11-01,ipc_general_ins,4.9,INS,%
2025-11-01,taux_directeur,7.5,BCT,%
2025-11-01,tmm,7.49,BCT,%
2025-11-01,tunindex,905028.0,BVMT,points
2025-11-01,tunindex_immo,20.0,BVMT,points
2025-12-01,ipc_general_ins,4.9,INS,%
2025-12-01,taux_directeur,7.5,BCT,%
2025-12-01,tmm,7.49,BCT,%
2025-12-01,tunindex,905028.0,BVMT,points
2025-12-01,tunindex_immo,20.0,BVMT,points
2026-01-01,ipc_general_ins,4.8,INS,%
2026-01-01,taux_directeur,7.0,BCT,%
2026-01-01,tmm,7.08,BCT,%
2026-02-01,ipc_general_ins,4.6,INS,%
2026-02-01,taux_directeur,7.0,BCT,%
2026-02-01,tmm,6.99,BCT,%
2026-03-01,ipc_general_ins,4.6,INS,%
2026-03-01,taux_directeur,7.0,BCT,%
2026-03-01,tmm,6.99,BCT,%
