id,listing_id,region,nature,type,description,price,price_text,date_modified,url,scraped_at,data_quality_score
276,1030529,Naassen,Terrain,Terrain nu,Terrain à naassen,950000.0,950 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10305&rech_cod_loc=1030529,2026-02-16T13:35:01.830007,100.0
281,1031201,Chouchet Rades,Terrain,Terrain nu,Terrain de promotion à chouch,1200000.0,1 200 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10312&rech_cod_loc=1031201,2026-02-16T13:35:01.830007,100.0
270,1170902,Bir Bouregba,Location,Maisons,Villa meublée avec pis,,500,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11709&rech_cod_loc=1170902,2026-02-16T13:34:59.367206,80.0
274,1040409,Ghar El Melh,Terrain,Terrain nu,Terrain à ghar el me,656400.0,656 400,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10404&rech_cod_loc=1040409,2026-02-16T13:34:59.367206,100.0
262,1020730,Jabbes,Terrain,Terrain nu,Terrain nu jabbes,160000.0,160 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10207&rech_cod_loc=1020730,2026-02-16T13:34:59.366194,100.0
253,1210402,Cite De La Plag,Vente,App. 3 pièc,Appartement pour famille,270000.0,270 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=12104&rech_cod_loc=1210402,2026-02-16T13:34:59.365204,100.0
255,1211012,Sidi Bou Ali,Terrain,Terrain agr,Seniya a chiab route de sidi,450000.0,450 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=12110&rech_cod_loc=1211012,2026-02-16T13:34:59.365204,100.0
256,1210102,Chatt Meriem,Location,Surfaces,Dépôt pour stockage,1200.0,1 200,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=12101&rech_cod_loc=1210102,2026-02-16T13:34:59.365204,100.0
259,1020704,Cebalet Ben Amm,Terrain,Terrain nu,Terrain nu cebalet ben ammar,692250.0,692 250,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10207&rech_cod_loc=1020704,2026-02-16T13:34:59.365204,100.0
260,1020705,Chorfech,Terrain,Terrain nu,Terrain nu chorfech,130000.0,130 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10207&rech_cod_loc=1020705,2026-02-16T13:34:59.365204,100.0
245,1010409,Zone urbaine no,Bureaux & Commer,Bureau,Bureau h4 1600 d centre,1600.0,1 600,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10104&rech_cod_loc=1010409,2026-02-16T13:34:14.293609,100.0
246,1010815,Tunis Belvedere,Location,Autre,Bureau sur l artère ched,,900,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010815,2026-02-16T13:34:14.293609,80.0
247,1010403,Cite Jardins,Location,Autre,Immeuble bureautique 3 n,24000.0,24 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10104&rech_cod_loc=1010403,2026-02-16T13:34:14.293609,100.0
244,1020114,Cite Ennasr 1,Location,App. 1 pièc,Bureau au centre cité en,,420,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020114,2026-02-16T13:34:14.292610,80.0
