ds,yhat,yhat_lower,yhat_upper
2030-01-01,4.600863440081935,2.3261842026431636,6.80663364406922
2030-02-01,4.5456628755488495,2.1856589705291323,6.767416582814985
2030-03-01,4.495804301131871,2.1291354219953926,6.875414352243173
2030-04-01,4.440603736598786,2.0088493156579657,6.882242299868909
2030-05-01,4.387183835437736,1.8472803675597531,6.895854637813026
2030-06-01,4.331983270904652,1.798768047531462,6.932069109795349
2030-07-01,4.278563369743602,1.6096278926460785,6.969080219468042
2030-08-01,4.223362805210518,1.4512985434025494,6.978385727834747
2030-09-01,4.168162240677432,1.3466347900208266,6.911223743046121
2030-10-01,4.114742339516383,1.2219874865126303,7.033023324661044
2030-11-01,4.059541774983298,1.1497019781374473,7.034171454605257
2030-12-01,4.006121873822249,0.9232294569915841,7.061121842327744
2031-01-01,3.950921309289164,0.7723566458913482,7.101054802387943
2031-02-01,3.895720744756079,0.677056856927673,7.1047758124052365
2031-03-01,3.8458621703390996,0.50173544693561,7.15467367697613
2031-04-01,3.790661605806015,0.35058485115827426,7.153787075852264
2031-05-01,3.7372417046449655,0.2711608832246583,7.224866965226981
2031-06-01,3.68204114011188,0.07055780279804129,7.151318508315413
2031-07-01,3.6286212389508306,-0.05566360331784995,7.250145517707212
2031-08-01,3.573420674417747,-0.16808814127652003,7.266056992982941
2031-09-01,3.5182201098846617,-0.3504579896681984,7.270190557427185
2031-10-01,3.464800208723611,-0.49387703168454783,7.314432389602651
2031-11-01,3.4095996441905276,-0.6905473609373126,7.317275874604051
2031-12-01,3.356179743029478,-0.8190154732913301,7.354663733190152
2032-01-01,3.3009791784963927,-0.9270060831404021,7.36268851822141
2032-02-01,3.2457786139633082,-1.1060046145716198,7.383482773651933
2032-03-01,3.1941393761742924,-1.2345172881342055,7.427643429337459
2032-04-01,3.138938811641209,-1.3496281818316962,7.437694535617445
2032-05-01,3.0855189104801592,-1.5537738009564661,7.531172275255618
2032-06-01,3.030318345947074,-1.6976825398984596,7.617694888515498
2032-07-01,2.976898444786025,-1.8401385137998694,7.624819953738648
2032-08-01,2.92169788025294,-1.968010995741803,7.7090224061725445
2032-09-01,2.8664973157198546,-2.1839809714779093,7.710207859551484
2032-10-01,2.8130774145588067,-2.3511133140699294,7.852723005334028
2032-11-01,2.7578768500257214,-2.4369956384732174,7.823767874897984
2032-12-01,2.704456948864671,-2.69938964687741,7.862006206481626
2033-01-01,2.6492563843315873,-2.8460814140466946,7.860132588895566
2033-02-01,2.594055819798502,-3.000088615956528,8.010863574636316
2033-03-01,2.5441972453815227,-3.2389538162273506,8.033216274324447
2033-04-01,2.4889966808484374,-3.451033463648926,8.04949564588465
2033-05-01,2.4355767796873877,-3.669720823161309,8.109245819517842
2033-06-01,2.3803762151543033,-3.8061318929019947,8.18212211705934
2033-07-01,2.3269563139932536,-4.000572855097292,8.22428765218013
