id,ipim_type,property_type,price,currency,city,municipality,region,surface,rooms,price_per_m2,latitude,longitude,reliability_score,reliability_level,is_outlier,scraped_at,last_updated
newkey:newkey_120349,maison,villa,1580.0,TND,Maison / Villa,,,,,,,,10.0,DROP,True,2026-04-01 19:51:18.022749+00,2026-04-09 15:39:07.098264+00
newkey:newkey_120480,terrain,land,,TND,Terrain,,,,,,36.8326074,10.0984587,20.0,DROP,False,2026-04-06 10:01:17.234799+00,2026-04-09 15:39:07.318127+00
newkey:newkey_120486,maison,villa,1250.0,TND,Maison / Villa,الهوارية,,,,,37.0565576,11.0104527,25.0,LOW,True,2026-04-06 09:30:26.681202+00,2026-04-09 15:39:08.066777+00
newkey:newkey_120857,maison,villa,1320.0,TND,Appartement,,,,,,36.40107,10.6124745,0.0,DROP,True,2026-04-06 10:01:02.271182+00,2026-04-09 15:39:10.21322+00
newkey:newkey_120889,maison,villa,1250.0,TND,Maison / Villa,الهوارية,,,,,37.0565576,11.0104527,25.0,LOW,True,2026-04-06 10:00:54.989114+00,2026-04-09 15:39:09.084396+00
newkey:newkey_120905,terrain,land,,TND,Terrain,,,,,,36.8326074,10.0984587,20.0,DROP,False,2026-04-06 10:00:21.16275+00,2026-04-09 15:39:07.871775+00
newkey:newkey_121132,appartement,apartment,975000.0,TND,Appartement,,,,,,,,0.0,DROP,False,2026-04-06 09:52:53.177798+00,2026-04-09 15:39:10.61454+00
newkey:newkey_121438,appartement,apartment,465000.0,TND,Appartement,,,,,,36.40107,10.6124745,40.0,LOW,False,2026-04-06 09:52:25.988529+00,2026-04-09 15:39:08.880507+00
newkey:newkey_121527,terrain,land,2200.0,TND,Bureau Et Local...,,,,,,,,10.0,DROP,True,2026-04-06 09:51:52.252112+00,2026-04-09 15:39:09.99869+00
newkey:newkey_121561,maison,villa,620000.0,TND,Appartement,,,,,,,,30.0,LOW,False,2026-04-06 09:52:07.931323+00,2026-04-09 15:39:07.416503+00
newkey:newkey_121593,maison,villa,215000.0,TND,Appartement,,,,,,36.40107,10.6124745,40.0,LOW,False,2026-04-06 09:51:29.382393+00,2026-04-09 15:39:08.619017+00
newkey:newkey_121656,terrain,land,,TND,Terrain,,,,,,36.8326074,10.0984587,20.0,DROP,False,2026-04-06 09:51:13.069464+00,2026-04-09 15:39:09.691302+00
newkey:newkey_121769,maison,villa,650000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,15.0,DROP,False,2026-04-06 09:50:43.98661+00,2026-04-09 15:39:08.927667+00
newkey:newkey_121819,appartement,apartment,340000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,15.0,DROP,False,2026-04-06 09:50:28.709709+00,2026-04-09 15:39:09.686181+00
newkey:newkey_121821,maison,villa,330000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,15.0,DROP,False,2026-04-06 09:50:13.666632+00,2026-04-09 15:39:09.750997+00
newkey:newkey_121980,appartement,apartment,1400.0,TND,Immeuble,Ben Arous,BEN AROUS,,,,36.745,10.225,35.0,LOW,True,2026-04-06 09:49:51.420594+00,2026-04-09 15:39:10.9529+00
newkey:newkey_122018,appartement,apartment,530000.0,TND,Appartement,,,,,,36.40107,10.6124745,40.0,LOW,False,2026-04-06 09:34:43.759752+00,2026-04-09 15:39:09.036175+00
newkey:newkey_122027,appartement,apartment,,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,25.0,LOW,False,2026-04-06 09:49:43.887455+00,2026-04-09 15:39:08.826861+00
newkey:newkey_122030,appartement,apartment,430000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,15.0,DROP,False,2026-04-06 09:49:28.470915+00,2026-04-09 15:39:10.759112+00
newkey:newkey_122217,appartement,apartment,270000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,15.0,DROP,False,2026-04-06 09:49:10.197757+00,2026-04-09 15:39:07.515084+00
newkey:newkey_122277,appartement,apartment,328000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,15.0,DROP,False,2026-04-06 09:48:33.995256+00,2026-04-09 15:39:10.80776+00
newkey:newkey_122278,appartement,apartment,534000.0,TND,Appartement,,,,,,36.40107,10.6124745,40.0,LOW,False,2026-04-06 09:48:11.249291+00,2026-04-09 15:39:09.897603+00
newkey:newkey_122398,maison,villa,980000.0,TND,Appartement,,,,,,,,30.0,LOW,False,2026-04-06 09:47:53.516984+00,2026-04-09 15:39:08.475734+00
