"lat","lon","radius","data","cached_at"
"35.8667","10.5667","750","[{""name"": ""etikouda"", ""category"": ""leisure"", ""distance_m"": 176.8}, {""name"": ""École Primaire Farhat Hached"", ""category"": ""school"", ""distance_m"": 448.0}, {""name"": ""Dalass Food chez Bassem"", ""category"": ""restaurant"", ""distance_m"": 459.7}, {""name"": ""Carrefour Express"", ""category"": ""shopping"", ""distance_m"": 727.9}]","2026-03-24 10:27:34"
"36.4","10.6167","750","[{""name"": ""La Maison des Saveurs"", ""category"": ""restaurant"", ""distance_m"": 65.5}, {""name"": ""Dar CA"", ""category"": ""restaurant"", ""distance_m"": 94.7}, {""name"": ""Hôpital d'Hammamet"", ""category"": ""hospital"", ""distance_m"": 97.5}, {""name"": ""صيدلية الليل"", ""category"": ""hospital"", ""distance_m"": 113.8}, {""name"": ""Chee'z Pizzeria"", ""category"": ""restaurant"", ""distance_m"": 115.5}, {""name"": ""Hammamet"", ""category"": ""restaurant"", ""distance_m"": 144.0}, {""name"": ""Café Maure SIDI EL KILANI"", ""category"": ""restaurant"", ""distance_m"": 144.7}, {""name"": ""Cafeteria CA"", ""category"": ""restaurant"", ""distance_m"": 151.7}, {""name"": ""Kafteji Hammamet"", ""category"": ""restaurant"", ""distance_m"": 154.5}, {""name"": ""l'Escale Hammamet"", ""category"": ""restaurant"", ""distance_m"": 156.5}]","2026-03-24 10:27:50"
"36.866","10.1939","750","[{""name"": ""حي نزهة"", ""category"": ""other"", ""distance_m"": 291.2}, {""name"": ""مقهى النزهة"", ""category"": ""restaurant"", ""distance_m"": 340.5}, {""name"": ""نهاية خط النخيلات"", ""category"": ""other"", ""distance_m"": 418.8}, {""name"": ""المنصورة"", ""category"": ""other"", ""distance_m"": 472.5}, {""name"": ""سيدي الجبالي"", ""category"": ""school"", ""distance_m"": 509.8}, {""name"": ""حي الزهاني"", ""category"": ""other"", ""distance_m"": 528.2}, {""name"": ""مقهي الزيتونة"", ""category"": ""restaurant"", ""distance_m"": 533.1}, {""name"": ""مركز شرطة-قسم"", ""category"": ""other"", ""distance_m"": 539.3}, {""name"": ""Pharmacie Hassen Ben Hfaiedh"", ""category"": ""hospital"", ""distance_m"": 548.8}, {""name"": ""المدرسة الإعدادية برج الوزير"", ""category"": ""school"", ""distance_m"": 553.0}]","2026-03-24 10:28:24"
"35.8592","10.59","750","[{""name"": ""École Primaire Habib Bourguiba"", ""category"": ""school"", ""distance_m"": 158.7}, {""name"": ""Pharmacie Ferjani"", ""category"": ""hospital"", ""distance_m"": 315.4}, {""name"": ""مقهى إفريقيا"", ""category"": ""restaurant"", ""distance_m"": 509.7}, {""name"": ""Sousse-Sahloul"", ""category"": ""other"", ""distance_m"": 599.1}, {""name"": ""Café Journal"", ""category"": ""restaurant"", ""distance_m"": 619.7}, {""name"": ""Gatousi shih 22283"", ""category"": ""shopping"", ""distance_m"": 723.2}, {""name"": ""Sousse-Sahloul"", ""category"": ""other"", ""distance_m"": 729.5}, {""name"": ""Sousse-Hammam Sousse"", ""category"": ""other"", ""distance_m"": 738.5}, {""name"": ""Sousse-Hammam Sousse"", ""category"": ""other"", ""distance_m"": 741.7}]","2026-03-24 10:29:23"
"35.8269","10.63","750","[{""name"": ""Shaghaf – شَغَف"", ""category"": ""restaurant"", ""distance_m"": 146.8}, {""name"": ""Cité Universitaire Ibn Sina"", ""category"": ""school"", ""distance_m"": 284.3}, {""name"": ""Monoprix"", ""category"": ""shopping"", ""distance_m"": 325.6}, {""name"": ""Hospital F. Hached"", ""category"": ""hospital"", ""distance_m"": 351.2}, {""name"": ""Hôpital Farhat hached;Service des Urgences Farhat hached"", ""category"": ""hospital"", ""distance_m"": 361.4}, {""name"": ""Lycée tahar sfar (de jeunes filles)"", ""category"": ""school"", ""distance_m"": 372.9}, {""name"": ""Café le Pyramides"", ""category"": ""restaurant"", ""distance_m"": 374.5}, {""name"": ""NEW MONTANA"", ""category"": ""restaurant"", ""distance_m"": 377.2}, {""name"": ""Dr Kmar Brahem"", ""category"": ""hospital"", ""distance_m"": 380.2}, {""name"": ""Lycée Technique de Sousse"", ""category"": ""school"", ""distance_m"": 392.1}]","2026-03-24 10:35:18"
"36.8863","10.2186","750","[{""name"": ""سيدي صالح"", ""category"": ""other"", ""distance_m"": 321.0}, {""name"": ""كارفور ماركت"", ""category"": ""shopping"", ""distance_m"": 335.2}, {""name"": ""جامع سيدي صالح"", ""category"": ""other"", ""distance_m"": 411.4}]","2026-03-24 12:24:52"
"36.8484","10.1745","750","[{""name"": ""Café Chams"", ""category"": ""restaurant"", ""distance_m"": 108.0}, {""name"": ""كافا جافا"", ""category"": ""restaurant"", ""distance_m"": 112.4}, {""name"": ""ماي بليس"", ""category"": ""restaurant"", ""distance_m"": 117.3}, {""name"": ""Café Amal"", ""category"": ""restaurant"", ""distance_m"": 143.6}, {""name"": ""سفارة كوبا"", ""category"": ""leisure"", ""distance_m"": 311.3}, {""name"": ""كارنوا"", ""category"": ""other"", ""distance_m"": 326.8}, {""name"": ""Fakhr Eddine"", ""category"": ""restaurant"", ""distance_m"": 329.5}, {""name"": ""Auto école tarek"", ""category"": ""other"", ""distance_m"": 329.8}, {""name"": ""Farmhouse El menzah"", ""category"": ""restaurant"", ""distance_m"": 351.2}, {""name"": ""منزه 8"", ""category"": ""other"", ""distance_m"": 352.7}]","2026-03-24 12:25:07"
"36.8625","10.1692","750","[{""name"": ""المدرسة الابتدائية النصر 1 اريانة"", ""category"": ""school"", ""distance_m"": 88.1}, {""name"": ""مقهى رندة"", ""category"": ""restaurant"", ""distance_m"": 108.4}, {""name"": ""Bon goût"", ""category"": ""shopping"", ""distance_m"": 108.8}, {""name"": ""حي النصر 1"", ""category"": ""other"", ""distance_m"": 124.9}, {""name"": ""لا لونا"", ""category"": ""restaurant"", ""distance_m"": 244.7}, {""name"": ""لا فالان"", ""category"": ""restaurant"", ""distance_m"": 246.1}, {""name"": ""MM Café"", ""category"": ""restaurant"", ""distance_m"": 264.4}, {""name"": ""Chabrouch"", ""category"": ""restaurant"", ""distance_m"": 272.4}, {""name"": ""كابانا كافي"", ""category"": ""restaurant"", ""distance_m"": 273.8}, {""name"": ""Broadway"", ""category"": ""restaurant"", ""distance_m"": 287.6}]","2026-03-24 12:26:24"
"36.8647","10.1607","750","[{""name"": ""Aladin"", ""category"": ""restaurant"", ""distance_m"": 295.2}, {""name"": ""Collège Riadh Ennasr Ariana"", ""category"": ""school"", ""distance_m"": 343.6}, {""name"": ""المدرسة الإعدادية"", ""category"": ""school"", ""distance_m"": 362.7}, {""name"": ""rrrrrrrrrrrrr"", ""category"": ""other"", ""distance_m"": 372.3}, {""name"": ""نهاية خط 5د/51أ"", ""category"": ""other"", ""distance_m"": 400.3}, {""name"": ""École Primaire Ennasr 2"", ""category"": ""school"", ""distance_m"": 400.5}, {""name"": ""مجمع كمون الطبي حي النصر"", ""category"": ""hospital"", ""distance_m"": 402.8}, {""name"": ""مونوبري"", ""category"": ""shopping"", ""distance_m"": 417.9}, {""name"": ""Salim School"", ""category"": ""school"", ""distance_m"": 430.3}, {""name"": ""مجطة الهادي نويرة"", ""category"": ""other"", ""distance_m"": 451.7}]","2026-03-24 12:26:51"
"36.8525","10.1577","750","[{""name"": ""مقهى الأمير"", ""category"": ""restaurant"", ""distance_m"": 160.4}, {""name"": ""Boulangerie Patisserie - chez Fanny"", ""category"": ""shopping"", ""distance_m"": 167.6}, {""name"": ""Café des Arts"", ""category"": ""restaurant"", ""distance_m"": 196.1}, {""name"": ""École Primaire d'El Menzah 7"", ""category"": ""school"", ""distance_m"": 357.2}, {""name"": ""لنسترا"", ""category"": ""restaurant"", ""distance_m"": 373.8}, {""name"": ""ايكوزي"", ""category"": ""restaurant"", ""distance_m"": 374.7}, {""name"": ""مراكش"", ""category"": ""shopping"", ""distance_m"": 383.1}, {""name"": ""دولتشي فيتا"", ""category"": ""restaurant"", ""distance_m"": 388.5}, {""name"": ""شال المنزه 7"", ""category"": ""other"", ""distance_m"": 388.9}, {""name"": ""سوبرت 53"", ""category"": ""shopping"", ""distance_m"": 408.7}]","2026-03-24 12:27:49"
