ipim_type,zone,n_obs,zone_index,premium_pct,year,prix_m2,prix_m2_low,prix_m2_high,valeur_100m2,valeur_low,valeur_high
appartement,Sousse,5,0.3237,-67.6,2032,1261.1,1081.2,1441.1,126114.0,108122.0,144107.0
appartement,El Mourouj,22,0.2821,-71.8,2026,871.6,806.5,936.7,87164.0,80654.0,93673.0
appartement,El Mourouj,22,0.2821,-71.8,2027,909.6,831.3,987.9,90958.0,83131.0,98786.0
appartement,El Mourouj,22,0.2821,-71.8,2028,947.5,855.2,1039.9,94753.0,85515.0,103991.0
appartement,El Mourouj,22,0.2821,-71.8,2029,985.5,878.1,1092.8,98548.0,87814.0,109282.0
appartement,El Mourouj,22,0.2821,-71.8,2030,1023.4,900.3,1146.5,102343.0,90033.0,114652.0
appartement,El Mourouj,22,0.2821,-71.8,2031,1061.4,921.8,1201.0,106137.0,92177.0,120098.0
appartement,El Mourouj,22,0.2821,-71.8,2032,1099.3,942.5,1256.2,109932.0,94248.0,125616.0
maison,Jardins de Carthage,5,2.9682,196.8,2026,5925.2,5324.5,6525.8,592519.0,532454.0,652584.0
maison,Jardins de Carthage,5,2.9682,196.8,2027,6220.2,5476.6,6963.7,622018.0,547662.0,696375.0
maison,Jardins de Carthage,5,2.9682,196.8,2028,6514.6,5618.7,7410.4,651456.0,561872.0,741040.0
maison,Jardins de Carthage,5,2.9682,196.8,2029,6809.1,5752.4,7865.7,680907.0,575240.0,786574.0
maison,Jardins de Carthage,5,2.9682,196.8,2030,7103.5,5877.8,8329.3,710355.0,587777.0,832933.0
maison,Jardins de Carthage,5,2.9682,196.8,2031,7398.0,5995.2,8800.9,739803.0,599521.0,880086.0
maison,Jardins de Carthage,5,2.9682,196.8,2032,7692.5,6105.0,9280.0,769252.0,610502.0,928001.0
maison,Ain Zaghouan,5,1.9718,97.2,2026,3936.1,3537.1,4335.1,393609.0,353708.0,433510.0
maison,Ain Zaghouan,5,1.9718,97.2,2027,4132.1,3638.1,4626.0,413205.0,363811.0,462600.0
maison,Ain Zaghouan,5,1.9718,97.2,2028,4327.6,3732.5,4922.7,432761.0,373250.0,492271.0
maison,Ain Zaghouan,5,1.9718,97.2,2029,4523.2,3821.3,5225.2,452325.0,382131.0,522519.0
maison,Ain Zaghouan,5,1.9718,97.2,2030,4718.9,3904.6,5533.2,471887.0,390459.0,553315.0
maison,Ain Zaghouan,5,1.9718,97.2,2031,4914.5,3982.6,5846.4,491450.0,398260.0,584639.0
maison,Ain Zaghouan,5,1.9718,97.2,2032,5110.1,4055.6,6164.7,511012.0,405555.0,616469.0
maison,La Soukra,14,1.8014,80.1,2026,3596.0,3231.5,3960.6,359603.0,323149.0,396057.0
maison,La Soukra,14,1.8014,80.1,2027,3775.1,3323.8,4226.3,377506.0,332379.0,422633.0
maison,La Soukra,14,1.8014,80.1,2028,3953.7,3410.0,4497.4,395372.0,341003.0,449741.0
maison,La Soukra,14,1.8014,80.1,2029,4132.5,3491.2,4773.8,413246.0,349116.0,477375.0
maison,La Soukra,14,1.8014,80.1,2030,4311.2,3567.2,5055.1,431118.0,356725.0,505511.0
maison,La Soukra,14,1.8014,80.1,2031,4489.9,3638.5,5341.3,448990.0,363852.0,534128.0
maison,La Soukra,14,1.8014,80.1,2032,4668.6,3705.2,5632.1,466863.0,370517.0,563209.0
maison,El Menzah,8,1.4213,42.1,2026,2837.3,2549.6,3124.9,283725.0,254963.0,312487.0
maison,El Menzah,8,1.4213,42.1,2027,2978.5,2622.5,3334.6,297851.0,262246.0,333456.0
maison,El Menzah,8,1.4213,42.1,2028,3119.5,2690.5,3548.4,311947.0,269050.0,354844.0
maison,El Menzah,8,1.4213,42.1,2029,3260.5,2754.5,3766.5,326049.0,275451.0,376647.0
maison,El Menzah,8,1.4213,42.1,2030,3401.5,2814.5,3988.5,340150.0,281454.0,398846.0
maison,El Menzah,8,1.4213,42.1,2031,3542.5,2870.8,4214.3,354251.0,287078.0,421425.0
