zone,n_obs,zone_coef,zone_coef_se,pval,zone_index,premium_pct,price_m2_hedonique,is_ref,ipim_type
Cite El Ghazala 1,5,0.6152547491841973,0.48253301235916984,0.2031341188662438,1.8501278580919247,85.01278580919247,1270.7465715990527,False,terrain
Nabeul,5,0.4060394641294929,0.484225187530014,0.40230132560276777,1.5008617814929968,50.08617814929968,1030.8557621759292,False,terrain
Hammam Sousse,20,0.3623623566317095,0.2640817705966792,0.17089000518830283,1.4367194524709477,43.67194524709477,986.8000801090658,False,terrain
Kalaa El Kebira,10,0.35478505110945147,0.3522518728071765,0.31453663071557225,1.4258741312766905,42.58741312766905,979.3510518350386,False,terrain
Riadh Al Andalous,6,0.33932060331457237,0.4435187710878044,0.4447470410188501,1.4039933980017003,40.39933980017003,964.3224327741134,False,terrain
El Kantaoui,7,0.3391336975348316,0.41320659248959446,0.4123534710594784,1.4037310080427596,40.373100804275964,964.1422121805547,False,terrain
Hergla,9,0.18594860113332035,0.36887612917909307,0.6145109053556856,1.2043603560293628,20.436035602936276,827.2059613071816,False,terrain
Sidi Thabet,7,0.1152238778253436,0.41747828522246094,0.7827107306707928,1.1221246282744177,12.212462827441772,770.7229627671109,False,terrain
Cite Touristique,9,0.0795168001884769,0.369245077509976,0.8296197942433732,1.0827637500117129,8.276375001171289,743.6882360109594,False,terrain
Oued Ellil,6,0.06106795616336491,0.4435028789635113,0.8905607327650162,1.0629711471737586,6.297114717375862,730.0938338244578,False,terrain
Akouda,15,0.06056705689625963,0.29641187432452515,0.8382108426942487,1.0624388390326938,6.243883903269376,729.7282219331852,False,terrain
Boumhel,11,0.05697871980797342,0.33956355842103386,0.8668373662176742,1.0586332822362674,5.86332822362674,727.1144035254833,False,terrain
Ariana,11,0.04005496752691862,0.3394415760035407,0.9061331445616967,1.0408679865590327,4.086798655903268,714.9124421980251,False,terrain
Borj Touil,9,0.019402292020044953,0.37023803949273026,0.9582358715042084,1.0195917397442862,1.9591739744286185,700.2990101705665,False,terrain
Hammamet,72,0.0,0.0,1.0,1.0,0.0,686.842569307399,True,terrain
Borj Louzir,5,-0.010000110020051967,0.48298237688798157,0.9834928114635649,0.9900497248238399,-0.9950275176160095,680.0082967400898,False,terrain
Borj Youssef,5,-0.06493816505627437,0.48613739314553917,0.8938113637698326,0.9371254086827724,-6.287459131722761,643.6576234629218,False,terrain
Chott Meriem,32,-0.06738738513935183,0.22177517681184217,0.7614187875738372,0.9348329907754096,-6.51670092245904,642.0830932575025,False,terrain
Mnihla,5,-0.12361283771712739,0.4835347767295313,0.798375366571667,0.8837219184540844,-11.627808154591557,606.9778330242672,False,terrain
Borj Cedria,20,-0.14196985423638808,0.263806945493809,0.5908089577758828,0.8676474119854535,-13.235258801454652,595.9371777010043,False,terrain
La Manouba,9,-0.22478049645305165,0.3696566806495113,0.5435282753744387,0.7986915151400753,-20.13084848599247,548.5753323428286,False,terrain
Soliman,13,-0.2480480373374856,0.31540043268312823,0.4321319986914297,0.7803224577644381,-21.96775422355619,535.9586817791914,False,terrain
El Mourouj,5,-0.26658000621518685,0.483739055158278,0.5819278978229998,0.7659947169364095,-23.400528306359046,526.1177794564978,False,terrain
El Haouaria,6,-0.274457479370974,0.44333975124413905,0.5362731060223463,0.7599843185731808,-24.00156814268192,521.9895820021368,False,terrain
Mornaguia,5,-0.44293924869628964,0.4853737668698946,0.3620932471184587,0.6421462171226908,-35.78537828773092,441.05335763957606,False,terrain
Raoued,18,-0.5801454092077598,0.2754108641438611,0.03587275260602157,0.559816958106407,-44.018304189359306,384.5061178476574,False,terrain
Dar Allouche,5,-1.2823907933552923,0.4855946671163924,0.008638976089243201,0.2773733647055829,-72.26266352944171,190.5118344718208,False,terrain
Kalaa Essghira,9,-2.683571159013213,0.3832280495624719,1.2866277631070637e-11,0.06831874090738407,-93.16812590926159,46.92421953667422,False,terrain
