zone,ipim_type,n_obs,zone_index,premium_pct,prix_m2_2026,prix_m2_2027,prix_m2_2028,prix_m2_2029,prix_m2_2030,prix_m2_2031,prix_m2_2032,prix_m2_high_2026,prix_m2_high_2027,prix_m2_high_2028,prix_m2_high_2029,prix_m2_high_2030,prix_m2_high_2031,prix_m2_high_2032,prix_m2_low_2026,prix_m2_low_2027,prix_m2_low_2028,prix_m2_low_2029,prix_m2_low_2030,prix_m2_low_2031,prix_m2_low_2032
Hergla,terrain,9,1.2044,20.4,1057.0,1109.8,1162.4,1215.0,1267.7,1320.3,1372.9,1137.4,1212.9,1289.8,1368.3,1448.3,1529.7,1612.5,976.6,1006.6,1035.0,1061.7,1087.0,1110.9,1133.4
Jardins de Carthage,appartement,38,1.0,0.0,3089.4,3223.9,3358.3,3492.8,3627.3,3761.8,3896.3,3320.1,3501.3,3685.8,3873.3,4063.6,4256.6,4452.2,2858.6,2946.4,3030.9,3112.4,3191.1,3267.0,3340.4
Jardins de Carthage,maison,5,2.9682,196.8,5925.2,6220.2,6514.6,6809.1,7103.5,7398.0,7692.5,6525.8,6963.7,7410.4,7865.7,8329.3,8800.9,9280.0,5324.5,5476.6,5618.7,5752.4,5877.8,5995.2,6105.0
Kalaa El Kebira,terrain,10,1.4259,42.6,1251.4,1313.9,1376.2,1438.5,1500.8,1563.1,1625.5,1346.6,1435.9,1527.0,1620.0,1714.7,1811.1,1909.1,1156.2,1191.8,1225.3,1257.0,1286.9,1315.2,1341.8
Kalaa Essghira,terrain,9,0.0683,-93.2,60.0,63.0,65.9,68.9,71.9,74.9,77.9,64.5,68.8,73.2,77.6,82.2,86.8,91.5,55.4,57.1,58.7,60.2,61.7,63.0,64.3
La Manouba,terrain,9,0.7987,-20.1,701.0,736.0,770.8,805.8,840.7,875.6,910.5,754.3,804.3,855.4,907.4,960.5,1014.5,1069.4,647.6,667.6,686.3,704.1,720.9,736.7,751.6
La Soukra,appartement,29,0.697,-30.3,2153.4,2247.2,2340.9,2434.7,2528.4,2622.2,2715.9,2314.2,2440.6,2569.1,2699.9,2832.5,2967.1,3103.4,1992.6,2053.8,2112.7,2169.5,2224.3,2277.3,2328.4
La Soukra,maison,14,1.8014,80.1,3596.0,3775.1,3953.7,4132.5,4311.2,4489.9,4668.6,3960.6,4226.3,4497.4,4773.8,5055.1,5341.3,5632.1,3231.5,3323.8,3410.0,3491.2,3567.2,3638.5,3705.2
La Soukra,terrain,20,2.2381,123.8,1964.3,2062.3,2160.1,2257.9,2355.7,2453.6,2551.4,2113.7,2253.9,2396.9,2542.8,2691.5,2842.8,2996.6,1814.8,1870.7,1923.3,1973.0,2020.0,2064.4,2106.2
Mnihla,terrain,5,0.8837,-11.6,775.6,814.3,852.9,891.5,930.2,968.8,1007.4,834.6,890.0,946.4,1004.0,1062.7,1122.5,1183.2,716.6,738.6,759.4,779.1,797.6,815.1,831.6
Mornaguia,terrain,5,0.6421,-35.8,563.6,591.7,619.8,647.8,675.9,704.0,732.0,606.5,646.7,687.7,729.6,772.2,815.6,859.8,520.7,536.7,551.8,566.1,579.6,592.3,604.3
Nabeul,appartement,19,0.6482,-35.2,2002.4,2089.6,2176.8,2263.9,2351.1,2438.3,2525.5,2151.9,2269.4,2389.0,2510.5,2633.9,2759.0,2885.8,1852.9,1909.8,1964.5,2017.3,2068.3,2117.6,2165.2
Nabeul,terrain,5,1.5009,50.1,1317.2,1383.0,1448.5,1514.1,1579.8,1645.4,1711.0,1417.5,1511.5,1607.3,1705.2,1804.9,1906.4,2009.5,1217.0,1254.5,1289.8,1323.1,1354.6,1384.3,1412.4
Oued Ellil,terrain,6,1.063,6.3,932.9,979.5,1025.9,1072.4,1118.8,1165.3,1211.8,1003.9,1070.5,1138.4,1207.7,1278.3,1350.2,1423.2,861.9,888.5,913.5,937.1,959.4,980.4,1000.3
Raoued,maison,5,0.5586,-44.1,1115.0,1170.5,1225.9,1281.3,1336.7,1392.2,1447.6,1228.0,1310.4,1394.5,1480.2,1567.4,1656.1,1746.3,1002.0,1030.6,1057.3,1082.5,1106.1,1128.2,1148.8
Raoued,terrain,18,0.5598,-44.0,491.3,515.8,540.3,564.8,589.2,613.7,638.2,528.7,563.8,599.5,636.0,673.2,711.1,749.5,453.9,467.9,481.1,493.5,505.3,516.4,526.8
Riadh Al Andalous,appartement,7,0.5655,-43.5,1746.9,1823.0,1899.0,1975.1,2051.1,2127.2,2203.2,1877.4,1979.9,2084.2,2190.2,2297.8,2407.0,2517.6,1616.5,1666.1,1713.9,1760.0,1804.4,1847.4,1888.9
Riadh Al Andalous,terrain,6,1.404,40.4,1232.2,1293.7,1355.1,1416.4,1477.8,1539.2,1600.5,1326.0,1413.9,1503.6,1595.1,1688.4,1783.3,1879.8,1138.4,1173.5,1206.5,1237.7,1267.2,1295.0,1321.2
Sidi Thabet,terrain,7,1.1221,12.2,984.8,1034.0,1083.0,1132.1,1181.1,1230.2,1279.2,1059.8,1130.0,1201.7,1274.9,1349.4,1425.3,1502.4,909.9,937.9,964.3,989.2,1012.8,1035.0,1056.0
Soliman,terrain,13,0.7803,-22.0,684.8,719.0,753.1,787.2,821.3,855.4,889.6,737.0,785.8,835.7,886.6,938.4,991.1,1044.8,632.7,652.2,670.6,687.9,704.3,719.7,734.3
Sousse,appartement,5,0.3237,-67.6,999.9,1043.5,1087.0,1130.5,1174.1,1217.6,1261.1,1074.6,1133.3,1193.0,1253.7,1315.3,1377.8,1441.1,925.3,953.7,981.0,1007.4,1032.9,1057.5,1081.2
